configuration_id,component_count,components,system_voltage_v,analysis_period_min,active_duration_min,sleep_duration_min,peak_duration_min,avg_active_current_ma,avg_sleep_current_ma,avg_peak_current_ma,calculated_energy_mwh,target_energy_mwh
30,4,MPU6050 + HC-SR501 + DHT22 / AM2302 + BME280,3.3,720,139.9344,546.3404,33.7253,17.85,0.0025,0.625,554.459961,539.288171
31,1,ESP32-S3,3.3,30,4.0292,25.7019,0.2689,91.7,0.007,355.0,25.581442,26.329159
32,4,ESP32 + Raspberry Pi Pico + HC-SR501 + nRF24L01+,3.3,720,420.8433,281.1301,18.0267,25.045,0.32726,63.375,2590.381904,2581.914314
33,4,Arduino Uno / ATmega328P + Raspberry Pi Pico + DHT22 / AM2302 + ESP32,3.3,1440,473.0133,916.9998,49.9869,6.595,0.327035,60.625,1418.971249,1384.382035
34,1,BMP280,3.3,60,29.5361,28.3177,2.1462,0.00274,0.0001,0.03685,0.008957,0.008719
35,4,MPU6050 + INA219 + ESP32-S3 + HC-SR501,3.3,1440,458.9586,933.3152,47.7262,40.15,0.00425,88.75,4986.708155,5120.092436
36,2,HC-SR04 + DHT22 / AM2302,4.15,1440,91.6887,1308.337,39.9743,8.75,0.0,1.25,132.714556,133.183233
37,4,INA219 + nRF24L01+ + ESP32-S3 + DS18B20,3.3,30,16.8949,11.8986,1.2065,26.0,0.002163,92.5,121.727729,118.164899
38,3,SSD1306 OLED controller + HC-05 + HC-SR501,3.3,30,15.1856,13.6192,1.1952,31.666667,0.003333,0.0,79.352105,75.944267
39,2,HC-SR04 + nRF24L01+,4.15,1440,549.6609,860.634,29.7052,13.15,0.00045,6.75,1050.788993,1032.36108
40,4,ESP32-S3 + INA219 + BME280 + HC-SR501,3.3,60,10.8099,46.9521,2.238,39.175,0.00175,88.75,136.880624,141.909381
41,4,HC-SR04 + ESP32-S3 + nRF24L01+ + ESP32,3.3,60,13.241,46.3273,0.4316,35.47,0.00401,152.125,123.43858,125.357649
42,4,Raspberry Pi Pico + DHT22 / AM2302 + HC-SR04 + INA219,3.3,30,1.8489,28.068,0.0831,4.375,0.325,0.625,4.583692,4.604976
43,4,MPU6050 + ESP32 + HC-SR04 + HC-SR501,3.3,720,235.7924,452.7074,31.5002,26.945,0.004535,60.0,1914.219488,1886.595079
44,2,ESP32 + HC-SR04,4.15,60,10.8126,48.4393,0.7482,19.44,0.00407,120.0,37.614404,38.79802
45,4,DHT22 / AM2302 + BME280 + ESP32 + Arduino Uno / ATmega328P,3.3,1440,732.0992,704.1596,3.7413,6.595,0.002035,60.625,1112.416925,1123.099318
46,1,HC-05,3.3,30,15.419,13.227,1.354,30.0,0.0,0.0,25.441328,24.876311
47,2,nRF24L01+ + HC-SR501,3.3,360,172.2413,185.3368,2.4219,38.15,0.00045,6.75,724.617988,720.966242
48,3,DHT22 / AM2302 + HC-SR04 + BME280,3.3,120,31.4159,84.7467,3.8374,5.833333,0.0,0.833333,44.11721,44.378379
49,1,Raspberry Pi Pico,3.3,120,33.5147,85.0899,1.3954,0.0,1.3,0.0,6.083927,5.897289
50,2,HC-SR04 + MPU6050,4.15,60,15.5223,42.4205,2.0572,9.45,0.005,0.0,22.755761,22.603545
51,4,BME280 + nRF24L01+ + SSD1306 OLED controller + HC-SR501,3.3,120,62.005,54.0795,3.9155,19.075,0.002725,3.375,263.143647,267.501244
52,3,nRF24L01+ + HC-SR04 + INA219,3.3,60,27.2515,32.1413,0.6072,8.766667,0.0003,4.5,51.453581,52.258676
53,3,nRF24L01+ + SSD1306 OLED controller + ESP32-S3,3.3,360,161.6917,196.7874,1.5209,34.333333,0.005967,122.833333,947.00158,917.227088
54,1,HC-05,3.3,30,17.3215,11.4771,1.2013,30.0,0.0,0.0,28.580515,29.444348
55,2,HC-05 + BME280,3.3,1440,272.6796,1124.8349,42.4855,15.0,0.0,0.0,449.921367,443.88216
56,4,Raspberry Pi Pico + BME280 + HC-SR501 + BMP280,3.3,360,110.2651,240.3276,9.4074,16.250685,0.325025,0.009213,411.418017,412.010735
57,4,Arduino Uno / ATmega328P + BMP280 + DS18B20 + INA219,4.15,1440,164.746,1268.9389,6.315,0.250685,0.000213,0.384213,14.642131,14.750001
58,1,HC-05,3.3,120,57.1052,58.8674,4.0274,30.0,0.0,0.0,94.223602,96.237107
59,3,BME280 + nRF24L01+ + INA219,3.3,720,160.5182,553.8077,5.674,3.766667,0.0003,4.5,104.002454,104.799932
60,2,ESP32-S3 + BME280,3.3,120,31.2991,84.3228,4.3781,45.85,0.0035,177.5,243.372198,239.752824
61,4,DS18B20 + HC-05 + nRF24L01+ + DHT22 / AM2302,3.3,360,160.1165,182.762,17.1215,11.2,0.000412,4.375,416.291338,420.904816
62,4,nRF24L01+ + SSD1306 OLED controller + DS18B20 + Arduino Uno / ATmega328P,4.15,360,153.8471,205.9315,0.2214,3.075,0.002913,3.75,108.764983,111.613649
63,3,BMP280 + HC-05 + DHT22 / AM2302,3.3,60,12.9636,44.2811,2.7553,10.834247,3.3e-05,0.845617,23.559081,23.689256
64,2,ESP32-S3 + HC-SR04,4.15,1440,768.3264,651.2322,20.4414,53.35,0.0035,177.5,5234.831526,5282.927668
65,1,ESP32-S3,3.3,360,149.8056,198.4922,11.7023,91.7,0.007,355.0,984.107288,999.068338
66,4,nRF24L01+ + SSD1306 OLED controller + ESP32 + HC-SR501,3.3,30,14.3167,15.386,0.2973,25.045,0.00476,63.375,83.044732,82.390769
67,2,INA219 + DS18B20,4.15,30,2.3524,26.7388,0.9089,0.5,0.000375,0.75,0.311312,0.30324
68,1,BME280,3.3,60,31.0305,28.7978,0.1717,0.0,0.0,0.0,0.0,0.0
69,4,nRF24L01+ + ESP32-S3 + SSD1306 OLED controller + HC-05,3.3,120,19.3176,99.9328,0.7495,33.25,0.004475,92.125,156.598113,156.290916
70,1,HC-SR501,3.3,720,285.4847,403.8746,30.6407,65.0,0.0,0.0,1020.607768,1008.474776
71,4,Raspberry Pi Pico + BME280 + HC-SR501 + ESP32,3.3,360,139.0856,219.9334,0.981,22.22,0.327035,60.0,708.679187,693.930951
72,4,INA219 + ESP32 + Arduino Uno / ATmega328P + SSD1306 OLED controller,3.3,60,6.0268,53.4226,0.5506,5.97,0.004535,60.0,15.236806,14.910814
73,3,nRF24L01+ + HC-SR04 + MPU6050,3.3,1440,186.9432,1184.9431,68.1138,10.066667,0.003633,4.5,441.248276,438.2232
74,3,HC-SR501 + MPU6050 + BME280,3.3,360,204.2377,153.0904,2.6719,22.966667,0.003333,0.0,774.042938,772.012816
75,3,SSD1306 OLED controller + HC-SR04 + MPU6050,3.3,1440,292.2358,1125.8254,21.9387,6.3,0.006667,0.0,429.217784,421.958329
76,1,nRF24L01+,3.3,360,143.6566,208.9308,7.4126,11.3,0.0009,13.5,94.79675,93.216737
77,4,DS18B20 + Raspberry Pi Pico + HC-SR501 + SSD1306 OLED controller,4.15,60,18.6464,40.6768,0.6768,16.5,0.327688,0.375,89.151912,87.436467
78,2,DHT22 / AM2302 + HC-SR501,3.3,720,292.5876,403.9248,23.4876,33.75,0.0,1.25,1089.461005,1102.95226
79,1,nRF24L01+,3.3,120,34.4736,81.7703,3.7561,11.3,0.0009,13.5,24.218276,25.4765
80,3,SSD1306 OLED controller + HC-SR04 + BME280,3.3,1440,801.4773,602.2611,36.2616,5.0,0.003333,0.0,1002.177869,998.762295
81,2,Arduino Uno / ATmega328P + nRF24L01+,4.15,360,115.84,242.0745,2.0854,5.65,0.00045,6.75,73.554996,74.534139
82,4,nRF24L01+ + SSD1306 OLED controller + ESP32 + HC-05,3.3,120,17.4176,100.699,1.8834,16.295,0.00476,63.375,88.804676,85.551927
83,4,nRF24L01+ + ESP32 + MPU6050 + HC-05,3.3,720,273.9328,441.759,4.3082,17.27,0.00476,63.375,1101.310142,1036.012829
84,1,HC-SR04,5.0,1440,860.4079,524.0006,55.5916,15.0,0.0,0.0,1075.509828,1063.473318
85,4,HC-SR501 + nRF24L01+ + DS18B20 + ESP32-S3,3.3,120,19.7978,97.0517,3.1505,42.25,0.002162,92.5,248.876954,252.203572
86,1,HC-05,3.3,30,15.299,13.2173,1.4837,30.0,0.0,0.0,25.243384,24.753587
87,1,SSD1306 OLED controller,3.3,720,92.072,611.7912,16.1368,0.0,0.01,0.0,0.336485,0.333507
88,4,nRF24L01+ + BME280 + ESP32-S3 + Arduino Uno / ATmega328P,3.3,120,15.9444,102.97,1.0856,25.75,0.001975,92.125,112.371444,111.363328
89,4,Raspberry Pi Pico + Arduino Uno / ATmega328P + ESP32 + HC-SR501,4.15,1440,462.6857,971.258,6.0563,22.22,0.327035,60.0,2855.559295,2759.243099
90,3,HC-05 + SSD1306 OLED controller + nRF24L01+,3.3,360,150.7002,195.5675,13.7323,13.766667,0.003633,4.5,352.629047,354.063459
91,3,HC-05 + DHT22 / AM2302 + HC-SR501,3.3,1440,454.1974,930.4614,55.3412,32.5,0.0,0.833333,2443.243114,2542.686691
92,4,INA219 + DHT22 / AM2302 + BME280 + BMP280,3.3,1440,341.7479,1062.3373,35.9148,0.625685,2.5e-05,0.634212,52.05876,51.523834
93,3,ESP32-S3 + ESP32 + MPU6050,3.3,360,53.1463,300.7543,6.0994,39.826667,0.00838,198.333333,549.264383,557.387044
94,3,Arduino Uno / ATmega328P + ESP32 + DS18B20,5.0,120,26.2973,90.1118,3.5909,8.293333,0.002963,80.5,84.624563,84.509507
95,2,Arduino Uno / ATmega328P + Raspberry Pi Pico,5.0,360,212.3976,136.436,11.1664,0.0,0.65,0.0,14.780565,15.149473
96,3,SSD1306 OLED controller + HC-05 + DS18B20,3.3,720,417.4316,274.4162,28.1522,10.333333,0.003583,0.5,727.235287,711.641428
97,1,ESP32-S3,3.3,360,105.1376,244.9066,9.9559,91.7,0.007,355.0,724.743917,728.156712
98,3,INA219 + MPU6050 + ESP32-S3,3.3,60,27.2139,30.5362,2.25,31.866667,0.005667,118.333333,187.049341,185.463486
99,1,ESP32-S3,3.3,60,28.6523,29.8786,1.4691,91.7,0.007,355.0,173.203658,176.018568
100,1,SSD1306 OLED controller,3.3,120,70.5425,46.988,2.4695,0.0,0.01,0.0,0.025843,0.025545
101,3,ESP32-S3 + HC-SR501 + Arduino Uno / ATmega328P,4.15,60,30.1452,29.7438,0.1109,52.233333,0.002333,118.333333,289.742523,279.974739
102,4,nRF24L01+ + ESP32 + MPU6050 + ESP32-S3,3.3,720,342.3934,346.4502,31.1564,32.695,0.00651,152.125,3506.025616,3416.086618
103,2,MPU6050 + nRF24L01+,3.3,1440,564.543,813.6719,61.785,7.6,0.00545,6.75,518.321154,518.653995
104,1,BME280,3.3,360,152.1029,207.3642,0.5329,0.0,0.0,0.0,0.0,0.0
105,3,HC-SR501 + HC-05 + nRF24L01+,3.3,120,28.9701,85.9099,5.1201,35.433333,0.0003,4.5,173.17944,171.775754
106,4,BMP280 + HC-SR04 + MPU6050 + HC-SR501,3.3,1440,220.5742,1213.3194,6.1064,20.975685,0.002525,0.009213,1112.303277,1123.971502
107,2,HC-05 + BMP280,3.3,360,76.6797,275.9774,7.343,15.00137,5e-05,0.018425,126.54944,126.190031
108,4,ESP32-S3 + HC-SR04 + Raspberry Pi Pico + BME280,3.3,360,95.6891,247.8355,16.4754,26.675,0.32675,88.75,941.716635,976.519186
109,2,BME280 + ESP32-S3,3.3,30,4.8327,25.1408,0.0265,45.85,0.0035,177.5,24.900645,24.467848
110,1,BME280,3.3,360,85.9719,266.4612,7.5669,0.0,0.0,0.0,0.0,0.0
111,4,DS18B20 + HC-SR04 + BME280 + BMP280,4.15,120,27.4726,87.073,5.4544,4.000685,0.000213,0.384213,37.333075,36.942781
112,1,BME280,3.3,720,269.9349,426.5412,23.5238,0.0,0.0,0.0,0.0,0.0
113,4,BME280 + DHT22 / AM2302 + Arduino Uno / ATmega328P + Raspberry Pi Pico,3.3,30,10.7646,18.0475,1.188,0.625,0.325,0.625,2.933867,2.924073
114,2,HC-SR501 + BMP280,3.3,120,71.6503,44.3021,4.0476,32.50137,5e-05,0.018425,256.169122,253.938363
115,2,Raspberry Pi Pico + BME280,3.3,60,24.5464,32.5875,2.866,0.0,0.65,0.0,2.330008,2.344644
116,1,BME280,3.3,120,8.3656,105.8757,5.7586,0.0,0.0,0.0,0.0,0.0
117,2,BME280 + ESP32,3.3,360,108.1133,242.5971,9.2896,11.94,0.00407,120.0,264.727124,270.619769
118,1,ESP32,3.3,30,3.3414,26.0818,0.5768,23.88,0.00814,240.0,12.013466,12.265551
119,4,Raspberry Pi Pico + HC-SR501 + BME280 + MPU6050,3.3,60,3.0548,56.609,0.3362,17.225,0.3275,0.0,15.654855,15.330775
120,2,ESP32 + Raspberry Pi Pico,3.3,360,114.9214,239.0829,5.9957,11.94,0.65407,120.0,247.282401,250.673875
121,3,SSD1306 OLED controller + HC-05 + BMP280,3.3,60,11.0019,47.5585,1.4396,10.000913,0.003367,0.012283,18.184186,17.848547
122,2,DHT22 / AM2302 + Arduino Uno / ATmega328P,4.15,60,33.7027,26.1516,0.1457,1.25,0.0,1.25,4.654155,4.549945
123,4,Raspberry Pi Pico + INA219 + DS18B20 + HC-SR501,4.15,30,1.6528,28.0647,0.2825,16.5,0.325188,0.375,10.128936,10.292419
124,4,BME280 + DS18B20 + ESP32-S3 + SSD1306 OLED controller,3.3,360,134.8587,209.8515,15.2898,23.175,0.004438,89.125,992.05261,994.017565
125,2,nRF24L01+ + HC-SR04,4.15,120,57.0139,57.8532,5.1329,13.15,0.00045,6.75,110.515532,110.540843
126,1,Arduino Uno / ATmega328P,5.0,1440,431.9303,964.6232,43.4466,0.0,0.0,0.0,0.0,0.0
127,1,MPU6050,3.3,720,162.0861,529.1423,28.7717,3.9,0.01,0.0,35.058486,35.368786
128,4,BMP280 + Raspberry Pi Pico + Arduino Uno / ATmega328P + HC-SR04,5.0,30,1.9923,27.488,0.5197,3.750685,0.325025,0.009213,5.469714,5.478862
129,3,Raspberry Pi Pico + DS18B20 + HC-05,4.15,60,13.4661,43.8639,2.6701,10.333333,0.433583,0.5,27.621755,28.367887
130,3,nRF24L01+ + ESP32-S3 + Arduino Uno / ATmega328P,3.3,720,104.4858,597.2517,18.2625,34.333333,0.002633,122.833333,962.30753,937.236491
131,2,INA219 + ESP32,3.3,360,133.7585,223.9571,2.2844,11.94,0.00407,120.0,205.932475,206.957143
132,4,MPU6050 + HC-SR501 + nRF24L01+ + ESP32-S3,3.3,60,4.6671,53.5491,1.7837,42.975,0.004475,92.125,80.329486,81.150809
133,2,DS18B20 + BME280,4.15,60,22.6586,36.6476,0.6938,0.5,0.000375,0.75,1.977234,2.0178
134,1,SSD1306 OLED controller,3.3,60,23.1554,35.184,1.6606,0.0,0.01,0.0,0.019351,0.019485
135,4,nRF24L01+ + BMP280 + HC-SR501 + HC-05,3.3,720,202.0319,499.4431,18.525,26.575685,0.00025,3.384212,1195.029568,1190.199659
136,4,ESP32 + MPU6050 + HC-SR04 + HC-05,3.3,30,16.1793,13.2282,0.5925,18.195,0.004535,60.0,79.474801,79.862804
137,2,Raspberry Pi Pico + MPU6050,3.3,60,9.5849,47.8382,2.5769,1.95,0.655,0.0,5.502698,5.537716
138,1,Arduino Uno / ATmega328P,5.0,60,18.5034,39.2961,2.2005,0.0,0.0,0.0,0.0,0.0
139,3,HC-SR04 + MPU6050 + DHT22 / AM2302,3.3,360,173.0261,176.7151,10.2588,7.133333,0.003333,0.833333,278.695601,272.40945
140,3,HC-05 + SSD1306 OLED controller + BME280,3.3,720,75.5455,637.0962,7.3583,10.0,0.003333,0.0,125.000545,129.594032
141,2,ESP32 + Arduino Uno / ATmega328P,4.15,1440,641.6955,734.3994,63.9051,11.94,0.00407,120.0,1686.679258,1691.100308
142,2,DHT22 / AM2302 + HC-SR501,3.3,360,133.0359,219.5996,7.3645,33.75,0.0,1.25,494.908385,504.499689
143,3,HC-SR04 + BME280 + SSD1306 OLED controller,3.3,120,32.0111,87.2023,0.7867,5.0,0.003333,0.0,40.061787,40.33147
144,2,HC-05 + DHT22 / AM2302,3.3,120,69.0233,49.5151,1.4616,16.25,0.0,1.25,123.580105,120.015316
145,2,HC-05 + HC-SR501,3.3,120,19.3378,99.5476,1.1146,47.5,0.0,0.0,101.040082,100.217729
146,2,HC-SR04 + ESP32,4.15,60,4.4907,54.0648,1.4445,19.44,0.00407,120.0,30.602755,31.046056
147,1,DS18B20,5.0,720,79.8341,631.0782,9.0877,1.0,0.00075,1.5,7.828244,7.793648
148,2,nRF24L01+ + DHT22 / AM2302,3.3,1440,786.1003,583.0107,70.8889,6.9,0.00045,8.0,659.06129,644.415566
149,2,HC-SR501 + INA219,3.3,120,26.0948,90.5878,3.3174,32.5,0.0,0.0,93.288877,88.621262
150,1,SSD1306 OLED controller,3.3,1440,560.4709,840.4789,39.0502,0.0,0.01,0.0,0.462263,0.458488
151,1,Arduino Uno / ATmega328P,5.0,120,62.2276,54.267,3.5054,0.0,0.0,0.0,0.0,0.0
152,1,nRF24L01+,3.3,60,15.2513,43.5341,1.2146,11.3,0.0009,13.5,10.382675,10.403971
153,1,nRF24L01+,3.3,30,17.0354,12.7836,0.181,11.3,0.0009,13.5,10.722508,10.674164
154,1,HC-05,3.3,30,5.8649,22.8654,1.2697,30.0,0.0,0.0,9.677096,9.5316
155,3,ESP32 + BMP280 + MPU6050,3.3,1440,746.257,630.7735,62.9694,9.260913,0.00608,80.012283,1972.275224,1934.292423
156,3,HC-SR04 + HC-05 + BMP280,3.3,60,8.3214,48.8586,2.8201,15.000913,3.3e-05,0.012283,24.139252,24.196813
157,1,nRF24L01+,3.3,60,19.1901,39.2207,1.5892,11.3,0.0009,13.5,13.108573,13.217057
158,3,BMP280 + MPU6050 + HC-05,3.3,30,17.2121,12.0648,0.723,11.300913,0.003367,0.012283,32.10276,33.160478
159,1,Raspberry Pi Pico,3.3,120,19.7093,98.7716,1.5191,0.0,1.3,0.0,7.062166,7.194976
160,3,ESP32-S3 + DHT22 / AM2302 + Raspberry Pi Pico,3.3,60,23.0683,35.5367,1.395,31.4,0.435667,119.166667,149.501252,150.366443
161,3,BMP280 + DS18B20 + Raspberry Pi Pico,4.15,30,13.7366,15.5602,0.7031,0.334247,0.433617,0.512283,2.636289,2.660109
162,4,MPU6050 + nRF24L01+ + DS18B20 + INA219,3.3,120,58.4342,57.8296,3.7363,4.05,0.002913,3.75,56.999957,56.997768
163,3,Arduino Uno / ATmega328P + nRF24L01+ + HC-05,3.3,360,144.5247,215.4337,0.0416,13.766667,0.0003,4.5,328.329383,319.367687
164,2,Arduino Uno / ATmega328P + DHT22 / AM2302,4.15,30,9.0613,20.7451,0.1935,1.25,0.0,1.25,1.272544,1.265347
165,4,MPU6050 + HC-SR04 + BMP280 + Raspberry Pi Pico,3.3,120,36.4326,79.6077,3.9597,4.725685,0.327525,0.009213,59.105178,57.430324
166,3,ESP32 + BMP280 + DS18B20,3.3,120,17.6975,98.2339,4.0686,8.294247,0.002997,80.512283,78.993941,79.585426
167,3,BMP280 + INA219 + ESP32,3.3,720,428.7559,272.1132,19.1309,7.960913,0.002747,80.012283,815.882493,808.004492
168,3,Raspberry Pi Pico + DHT22 / AM2302 + MPU6050,3.3,120,54.7417,62.8395,2.4188,2.133333,0.436667,0.833333,24.129254,24.299472
169,1,HC-05,3.3,360,197.6031,154.8495,7.5474,30.0,0.0,0.0,326.045103,325.658527
170,3,HC-05 + MPU6050 + DHT22 / AM2302,3.3,120,14.3033,105.1464,0.5503,12.133333,0.003333,0.833333,28.768635,29.154181
171,1,DS18B20,5.0,720,43.8275,664.4168,11.7557,1.0,0.00075,1.5,5.16328,5.31222
172,3,Raspberry Pi Pico + HC-05 + BME280,3.3,60,25.039,34.5729,0.3881,10.0,0.433333,0.0,43.786348,43.54653
173,4,ESP32-S3 + Arduino Uno / ATmega328P + DHT22 / AM2302 + INA219,3.3,720,250.6633,444.0866,25.2501,23.55,0.00175,89.375,1795.33721,1782.251419
174,1,HC-SR501,3.3,360,68.5112,280.2302,11.2586,65.0,0.0,0.0,244.927441,250.049032
175,3,SSD1306 OLED controller + MPU6050 + HC-SR04,3.3,360,97.2122,247.0359,15.7519,6.3,0.006667,0.0,142.638957,145.452186
176,1,MPU6050,3.3,120,67.7719,47.1042,5.1239,3.9,0.01,0.0,14.562974,14.284882
177,4,DS18B20 + BMP280 + BME280 + INA219,3.3,720,397.418,289.3225,33.2595,0.250685,0.000213,0.384213,37.422579,36.70734
178,1,BME280,3.3,1440,662.0333,722.9107,55.056,0.0,0.0,0.0,0.0,0.0
179,1,HC-SR04,5.0,360,65.5648,282.8285,11.6067,15.0,0.0,0.0,81.956003,82.629963
180,2,Arduino Uno / ATmega328P + DHT22 / AM2302,4.15,360,99.1765,256.8841,3.9394,1.25,0.0,1.25,14.178441,14.049
181,2,HC-SR501 + SSD1306 OLED controller,3.3,120,28.1846,87.0304,4.7851,32.5,0.005,0.0,100.807733,103.72133
182,1,Arduino Uno / ATmega328P,5.0,30,14.2765,15.5499,0.1736,0.0,0.0,0.0,0.0,0.0
183,2,DHT22 / AM2302 + INA219,3.3,1440,406.8579,988.526,44.6161,1.25,0.0,1.25,62.077675,61.349398
184,1,DHT22 / AM2302,3.3,1440,127.1554,1302.9088,9.9358,2.5,0.0,2.5,18.850041,19.013129
185,1,DHT22 / AM2302,3.3,120,49.7879,69.541,0.6711,2.5,0.0,2.5,6.93811,6.723913
186,4,BME280 + BMP280 + Raspberry Pi Pico + INA219,3.3,360,153.8603,194.3914,11.7484,0.000685,0.325025,0.009213,13.947051,13.76405
187,1,BME280,3.3,30,3.0708,25.8375,1.0918,0.0,0.0,0.0,0.0,0.0
188,3,BME280 + DHT22 / AM2302 + INA219,3.3,120,9.3937,106.5727,4.0336,0.833333,0.0,0.833333,1.846247,1.805728
189,2,nRF24L01+ + HC-05,3.3,1440,401.9995,1014.8492,23.1513,20.65,0.00045,6.75,930.381864,958.058832
190,4,HC-05 + HC-SR04 + Raspberry Pi Pico + HC-SR501,4.15,30,16.0046,13.8512,0.1441,27.5,0.325,0.0,119.613068,118.748814
191,2,DHT22 / AM2302 + HC-SR04,4.15,360,18.1027,334.0436,7.8537,8.75,0.0,1.25,26.197396,26.073833
192,1,ESP32-S3,3.3,30,12.2623,16.5031,1.2347,91.7,0.007,355.0,85.958355,85.78911
193,1,Raspberry Pi Pico,3.3,30,15.0816,14.11,0.8084,0.0,1.3,0.0,1.008867,0.995029
194,4,ESP32 + ESP32-S3 + BME280 + MPU6050,3.3,60,27.8269,30.6606,1.5125,29.87,0.006285,148.75,232.401518,232.419164
195,3,MPU6050 + BMP280 + DHT22 / AM2302,3.3,360,166.7952,191.0644,2.1404,2.134247,0.003367,0.845617,59.141817,59.701402
196,1,MPU6050,3.3,60,8.7864,48.7442,2.4693,3.9,0.01,0.0,1.9115,1.918536
197,3,SSD1306 OLED controller + nRF24L01+ + Raspberry Pi Pico,3.3,60,15.9663,41.4084,2.6253,3.766667,0.436967,4.5,14.857834,15.295532
198,2,BME280 + INA219,3.3,60,10.2863,47.7454,1.9682,0.0,0.0,0.0,0.0,0.0
199,2,HC-05 + ESP32,3.3,720,364.1046,330.3162,25.5792,26.94,0.00407,120.0,1416.780575,1405.113403
200,3,INA219 + BMP280 + ESP32,3.3,120,23.1722,94.3159,2.5119,7.960913,0.002747,80.012283,63.64324,63.535237
201,1,SSD1306 OLED controller,3.3,120,31.4344,86.9414,1.6242,0.0,0.01,0.0,0.047818,0.048217
